ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.90733 2.75200 1.30319 2.04030 2.39249 10.32057 6281.7 15232.6 1.92503 0.33054 
0.90754 2.76000 1.31027 2.04029 2.39255 10.31366 6281.7 15247.3 1.92323 0.33023 
0.90775 2.76800 1.31737 2.04029 2.39259 10.30677 6281.7 15262.0 1.92143 0.32992 
0.90795 2.77600 1.32448 2.04027 2.39263 10.29991 6281.7 15276.5 1.91962 0.32961 
0.90816 2.78400 1.33161 2.04025 2.39266 10.29308 6281.6 15291.0 1.91782 0.32931 
0.90836 2.79200 1.33874 2.04023 2.39268 10.28627 6281.6 15305.5 1.91602 0.32901 
0.90856 2.80000 1.34588 2.04020 2.39269 10.27950 6281.6 15319.9 1.91422 0.32871 
0.90876 2.80800 1.35304 2.04016 2.39269 10.27276 6281.6 15334.3 1.91242 0.32841 
0.90896 2.81600 1.36021 2.04012 2.39269 10.26605 6281.6 15348.5 1.91062 0.32811 
0.90916 2.82400 1.36739 2.04008 2.39267 10.25937 6281.6 15362.8 1.90882 0.32782 
0.90936 2.83200 1.37458 2.04002 2.39264 10.25269 6281.4 15377.0 1.90701 0.32751 
0.90956 2.84000 1.38178 2.03997 2.39261 10.24607 6281.4 15391.1 1.90521 0.32722 
0.90975 2.84800 1.38899 2.03991 2.39257 10.23947 6281.4 15405.2 1.90341 0.32693 
0.90994 2.85600 1.39621 2.03984 2.39253 10.23290 6281.4 15419.2 1.90161 0.32664 
0.91013 2.86400 1.40345 2.03977 2.39248 10.22638 6281.6 15433.1 1.89982 0.32636 
0.91032 2.87200 1.41069 2.03970 2.39242 10.21986 6281.6 15447.0 1.89802 0.32608 
0.91050 2.88000 1.41795 2.03962 2.39235 10.21338 6281.5 15460.9 1.89622 0.32580 
0.91069 2.88800 1.42521 2.03954 2.39227 10.20692 6281.6 15474.7 1.89443 0.32551 
0.91088 2.89600 1.43249 2.03945 2.39219 10.20048 6281.6 15488.4 1.89263 0.32523 
0.91106 2.90400 1.43978 2.03936 2.39210 10.19408 6281.6 15502.1 1.89084 0.32496 
0.91124 2.91200 1.44708 2.03926 2.39200 10.18770 6281.5 15515.8 1.88904 0.32468 
0.91143 2.92000 1.45439 2.03916 2.39189 10.18135 6281.6 15529.4 1.88725 0.32440 
0.91161 2.92800 1.46171 2.03905 2.39178 10.17503 6281.6 15542.9 1.88545 0.32413 
0.91178 2.93600 1.46904 2.03894 2.39166 10.16873 6281.6 15556.4 1.88366 0.32385 
0.91196 2.94400 1.47638 2.03882 2.39153 10.16246 6281.6 15569.8 1.88187 0.32358 
0.91214 2.95200 1.48373 2.03871 2.39140 10.15621 6281.6 15583.2 1.88008 0.32331 
0.91231 2.96000 1.49109 2.03858 2.39126 10.14999 6281.6 15596.5 1.87829 0.32305 
0.91249 2.96800 1.49846 2.03846 2.39111 10.14380 6281.6 15609.8 1.87650 0.32278 
0.91266 2.97600 1.50585 2.03833 2.39096 10.13763 6281.7 15623.0 1.87472 0.32251 
0.91283 2.98400 1.51324 2.03819 2.39080 10.13149 6281.7 15636.2 1.87293 0.32225 
0.91300 2.99200 1.52064 2.03806 2.39064 10.12538 6281.8 15649.4 1.87115 0.32199 
