ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.80766 2.10800 0.77537 2.08373 2.42408 11.41300 7986.9 13311.2 2.25639 0.47228 
0.80778 2.11600 0.78135 2.08478 2.42562 11.40332 7998.2 13330.0 2.25541 0.47226 
0.80790 2.12400 0.78734 2.08581 2.42713 11.39368 8009.4 13348.7 2.25440 0.47225 
0.80801 2.13200 0.79335 2.08682 2.42861 11.38408 8020.6 13367.3 2.25337 0.47223 
0.80813 2.14000 0.79937 2.08781 2.43006 11.37452 8031.7 13385.9 2.25231 0.47222 
0.80825 2.14800 0.80541 2.08878 2.43148 11.36500 8042.7 13404.3 2.25123 0.47220 
0.80836 2.15600 0.81147 2.08973 2.43288 11.35552 8053.7 13422.7 2.25012 0.47219 
0.80848 2.16400 0.81754 2.09066 2.43425 11.34608 8064.7 13441.0 2.24900 0.47217 
0.80859 2.17200 0.82363 2.09157 2.43559 11.33668 8075.6 13459.2 2.24785 0.47216 
0.80871 2.18000 0.82973 2.09246 2.43691 11.32731 8086.5 13477.3 2.24668 0.47214 
0.80882 2.18800 0.83585 2.09333 2.43819 11.31799 8097.3 13495.3 2.24548 0.47213 
0.80894 2.19600 0.84199 2.09419 2.43946 11.30871 8108.0 13513.3 2.24427 0.47211 
0.80905 2.20400 0.84814 2.09503 2.44069 11.29946 8118.8 13531.1 2.24304 0.47210 
0.80916 2.21200 0.85431 2.09585 2.44191 11.29026 8129.4 13548.9 2.24178 0.47209 
0.80927 2.22000 0.86049 2.09665 2.44309 11.28109 8140.0 13566.6 2.24051 0.47207 
0.80938 2.22800 0.86669 2.09743 2.44425 11.27196 8150.6 13584.3 2.23921 0.47206 
0.80949 2.23600 0.87290 2.09820 2.44539 11.26287 8161.1 13601.8 2.23790 0.47205 
0.80960 2.24400 0.87913 2.09895 2.44650 11.25382 8171.6 13619.3 2.23657 0.47203 
0.80971 2.25200 0.88537 2.09968 2.44759 11.24481 8182.0 13636.6 2.23522 0.47202 
